season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,qbelo1_pre,qbelo2_pre,qb1,qb2,qb1_value_pre,qb2_value_pre,qb1_adj,qb2_adj,qbelo_prob1,qbelo_prob2,qb1_game_value,qb2_game_value,qb1_value_post,qb2_value_post,qbelo1_post,qbelo2_post,score1,score2,quality,importance,total_rating
1966,0,,GB,IND,1617.725,1586.751,0.6347086346826263,0.3652913653173737,1639.363,1565.112,1606.88165589,1608.97391642,Bart Starr,Johnny Unitas,92.00941931181,162.34442623509,-3.54076381724,9.87469981551,0.558533512858,0.441466487142,184.92754027341,-12.850207488789,101.30123140797,144.82496286270208,1633.67584059,1582.17973172,24,3,92.0,,
1966,0,,CLE,GB,1582.318,1639.363,0.5114461651424823,0.4885538348575177,1575.202,1646.479,1582.85107831,1633.67584059,Frank Ryan,Bart Starr,94.38148859403,101.30123140797,3.63761588365,1.28218042169,0.511598723736,0.488401276264,234.21838468875,281.641138449,108.365178203502,119.33522211207298,1575.73273157,1640.79418733,20,21,92.0,,
1966,0,,GB,LAR,1646.479,1516.079,0.7548803530970738,0.2451196469029262,1657.668,1504.891,1640.79418733,1498.25834737,Bart Starr,Roman Gabriel,119.33522211204,135.73234760249997,10.2350667527,16.7005442327,0.752049382133,0.247950617867,254.45628829730995,17.597617648379998,132.847328730567,123.91887460708796,1652.1241943,1486.9283404,24,13,84.0,,
1966,0,,GB,DET,1657.668,1492.499,0.7900056166436024,0.2099943833563976,1666.422,1483.744,1652.1241943,1502.17253652,Bart Starr,Milt Plum,132.8473287306,50.92390342149,16.4793667243,-4.21241262311,0.786784889559,0.213215110441,226.62688168758,75.22092731208,142.225284026298,53.35360581054901,1661.02541638,1493.27131444,23,14,84.0,,
1966,0,,SF,GB,1469.961,1666.422,0.3193522164103757,0.6806477835896243,1479.997,1656.387,1463.97249847,1661.02541638,George Mira,Bart Starr,25.383453932892,142.22528402643,-98.5230575015,20.3443760359,0.188508465447,0.811491534553,152.24440600940997,244.49988409275,38.0695491405438,152.452744033062,1476.68777626,1648.31013859,21,20,52.0,,
1966,0,,CHI,GB,1574.128,1656.387,0.4751827124851124,0.5248172875148875,1546.873,1683.642,1575.2905318,1648.31013859,Rudy Bukich,Bart Starr,67.05563468471999,152.45274403292998,-17.9068357657,24.4408872374,0.415016003963,0.584983996037,-99.63996316296,-27.819342205149,50.38607489995199,134.4255354091221,1551.93264359,1671.6680268,0,17,93.0,,
1966,0,,GB,ATL,1683.642,1226.817,0.9527484819692416,0.0472515180307584,1686.689,1223.77,1671.6680268,1241.60440348,Bart Starr,Dennis Claridge,134.425535409,9.776317415139,14.2052385637,-46.7103980275,0.959324503426,0.040675496574,155.71172902493998,36.46610458194,136.55415477059398,12.4452961318191,1674.26498354,1239.00744674,56,3,7.0,,
1966,0,,DET,GB,1437.062,1686.689,0.2567750315446386,0.7432249684553613,1421.812,1701.94,1446.84450366,1674.26498354,Karl Sweetan,Bart Starr,23.339699182932,136.55415477066,-37.5843468484,14.5592863163,0.216539160616,0.783460839384,-5.955934447682999,199.51772921817,20.4101358198705,142.850512215411,1434.18928603,1686.92020118,7,31,67.0,,
1966,0,,GB,MIN,1701.94,1522.304,0.8034878839101817,0.1965121160898183,1676.875,1547.369,1686.92020118,1513.80587208,Bart Starr,Fran Tarkenton,142.85051221551,184.27992972048,16.9795007228,28.0178095619,0.778253151087,0.221746848913,86.99567331642,174.42323042562,137.265028325601,183.294259790994,1662.9678329,1537.75824036,17,20,93.0,,
1966,0,,GB,CHI,1676.875,1530.505,0.7714899631303548,0.2285100368696452,1685.546,1521.835,1662.9678329,1537.65971774,Bart Starr,Rudy Bukich,137.2650283257,50.14506000636,13.3377837417,-20.6669319064,0.799284788738,0.2007152112619999,61.10443427847,-64.92802118847,129.648968920977,38.637751886877,1670.4941276,1530.13342304,13,6,88.0,,
1966,0,,MIN,GB,1509.28,1685.546,0.3451338428602357,0.6548661571397643,1492.427,1702.398,1509.63127461,1670.4941276,Fran Tarkenton,Bart Starr,153.05984845007998,129.64896892067998,15.8107431439,8.8628648523,0.362743807759,0.637256192241,173.25735235908,197.75112441909,155.07959884098,136.459184470521,1491.81556723,1688.30983498,16,28,89.0,,
1966,0,,GB,SF,1702.398,1530.224,0.7966170294652682,0.2033829705347317,1712.088,1520.534,1688.30983498,1525.5516325,Bart Starr,John Brodie,136.45918447062,123.08730646476,11.8248293846,-5.16125533699,0.801157416793,0.198842583207,218.08579875489,21.340688551743,144.621845899047,112.91264467345827,1697.7645928,1516.09687468,20,7,91.0,,
1966,0,,IND,GB,1591.245,1712.088,0.4203204270812962,0.5796795729187039,1578.051,1725.283,1599.7130341,1697.7645928,Johnny Unitas,Bart Starr,117.54486709746,144.62184589908,-10.2376381137,15.3149186296,0.404429982013,0.595570017987,-54.07030887489,91.90516463469,100.383349500225,139.350177772641,1587.08099216,1710.39663474,10,14,97.0,,
1966,0,,LAR,GB,1567.424,1725.283,0.3694587751239146,0.6305412248760853,1556.013,1736.694,1541.71038036,1710.39663474,Roman Gabriel,Zeke Bratkowski,102.87523668642,54.39857349465,2.07623339882,-73.0382656431,0.48289609121,0.51710390879,266.20579344117,158.64155198859,119.208292361895,64.822871344044,1526.25010812,1725.85690698,23,27,87.0,,
