season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,qbelo1_pre,qbelo2_pre,qb1,qb2,qb1_value_pre,qb2_value_pre,qb1_adj,qb2_adj,qbelo_prob1,qbelo_prob2,qb1_game_value,qb2_game_value,qb1_value_post,qb2_value_post,qbelo1_post,qbelo2_post,score1,score2,quality,importance,total_rating
1966,0,,CLE,GB,1582.318,1639.363,0.5114461651424823,0.4885538348575177,1575.202,1646.479,1582.85107831,1633.67584059,Frank Ryan,Bart Starr,94.38148859403,101.30123140797,3.63761588365,1.28218042169,0.511598723736,0.488401276264,234.21838468875,281.641138449,108.365178203502,119.33522211207298,1575.73273157,1640.79418733,20,21,92.0,,
1966,0,,SF,GB,1469.961,1666.422,0.3193522164103757,0.6806477835896243,1479.997,1656.387,1463.97249847,1661.02541638,George Mira,Bart Starr,25.383453932892,142.22528402643,-98.5230575015,20.3443760359,0.188508465447,0.811491534553,152.24440600940997,244.49988409275,38.0695491405438,152.452744033062,1476.68777626,1648.31013859,21,20,52.0,,
1966,0,,CHI,GB,1574.128,1656.387,0.4751827124851124,0.5248172875148875,1546.873,1683.642,1575.2905318,1648.31013859,Rudy Bukich,Bart Starr,67.05563468471999,152.45274403292998,-17.9068357657,24.4408872374,0.415016003963,0.584983996037,-99.63996316296,-27.819342205149,50.38607489995199,134.4255354091221,1551.93264359,1671.6680268,0,17,93.0,,
1966,0,,DET,GB,1437.062,1686.689,0.2567750315446386,0.7432249684553613,1421.812,1701.94,1446.84450366,1674.26498354,Karl Sweetan,Bart Starr,23.339699182932,136.55415477066,-37.5843468484,14.5592863163,0.216539160616,0.783460839384,-5.955934447682999,199.51772921817,20.4101358198705,142.850512215411,1434.18928603,1686.92020118,7,31,67.0,,
1966,0,,MIN,GB,1509.28,1685.546,0.3451338428602357,0.6548661571397643,1492.427,1702.398,1509.63127461,1670.4941276,Fran Tarkenton,Bart Starr,153.05984845007998,129.64896892067998,15.8107431439,8.8628648523,0.362743807759,0.637256192241,173.25735235908,197.75112441909,155.07959884098,136.459184470521,1491.81556723,1688.30983498,16,28,89.0,,
1966,0,,IND,GB,1591.245,1712.088,0.4203204270812962,0.5796795729187039,1578.051,1725.283,1599.7130341,1697.7645928,Johnny Unitas,Bart Starr,117.54486709746,144.62184589908,-10.2376381137,15.3149186296,0.404429982013,0.595570017987,-54.07030887489,91.90516463469,100.383349500225,139.350177772641,1587.08099216,1710.39663474,10,14,97.0,,
1966,0,,LAR,GB,1567.424,1725.283,0.3694587751239146,0.6305412248760853,1556.013,1736.694,1541.71038036,1710.39663474,Roman Gabriel,Zeke Bratkowski,102.87523668642,54.39857349465,2.07623339882,-73.0382656431,0.48289609121,0.51710390879,266.20579344117,158.64155198859,119.208292361895,64.822871344044,1526.25010812,1725.85690698,23,27,87.0,,
1966,0,c,DAL,GB,1603.04,1736.694,0.4024651275792719,0.5975348724207281,1586.809,1752.925,1590.06392408,1725.85690698,Don Meredith,Bart Starr,152.30960434206,139.35017777273998,14.3082428577,10.3531029923,0.376456725859,0.6235432741410001,158.32228552569,369.207154305,152.910872460423,162.335875425966,1575.00746467,1740.91336638,27,34,99.0,,
1966,1,s,KC,GB,1669.601,1752.925,0.382334421636701,0.6176655783632989,1645.597,1776.93,1663.02902468,1740.91336638,Len Dawson,Bart Starr,182.76592066227,162.3358754259,15.037738367,21.3282966693,0.358596806652,0.641403193348,185.04312840156,247.31992991178,182.99364143619897,170.83428087448797,1640.68792433,1763.25446673,10,35,100.0,,
1967,0,,DET,GB,1449.551,1684.312,0.2734431743803217,0.7265568256196784,1437.377,1696.487,1459.03094122,1676.14602303,Milt Plum,Zeke Bratkowski,76.28647077249,71.33895410333999,5.03658652605,-54.3465738337,0.357868572166,0.642131427834,-37.4574599289,89.39881137329999,64.912077702351,73.144939830336,1442.62564337,1692.55132089,17,27,68.0,,
